Company,Complaint Count
"Bilt Technologies, Inc.",1
DriveTime,1
Incomm Holdings Inc.,1
AMERICAN HONDA FINANCE CORP,1
Harley Davidson Financial Services Inc,1
"Sentry Recovery and Collections, Inc.",1
United PanAm Financial Corp.,1
"Uetsa Tsakits, Inc. d/b/a MaxLend",1
OPORTUN FINANCIAL CORPORATION,1
"Fenix Holdings, LLC",1
RoundPoint Mortgage Servicing LLC,1
Servicer under contract with Federal Student Aid,1
FDR Asset USA LTD,1
STATE EMPLOYEES CREDIT UNION,1
"HUNTINGTON NATIONAL BANK, THE",1
"A.R.M. Solutions, Inc.",1
Retail Merchants Associates,1
Hunt & Henriques,1
"United Collection Bureau, Inc.",1
Army and Air Force Exchange Service,1
SECURITY SERVICE FEDERAL CREDIT UNION,1
"TEXAS CAPITAL BANCSHARES, INC.",1
World Acceptance Corporation,1
1st Franklin Financial Corporation,1
"Porsche Financial Services, Inc.",1
"CHARLES SCHWAB CORPORATION, THE",1
CNG HOLDINGS INC,1
"YREFY SLP5, LLC",1
Ricart Financial Services,1
"Credit Adjustment Services of Harrisburg, Inc",1
"Sherloq Group, Inc",1
"McCarthy, Burgess & Wolff, Inc.",1
"Madison Auto, LLC",1
"Prime Home Lending, LLC",1
"Axela Technologies, Inc",1
"Synerprise Consulting Services, Inc.",1
"Loan Ridge USA, LLC",1
"PLANET HOME LENDING, LLC",1
Santo Domingo Motors Inc.,1
"Professional Finance Company, Inc.",1
ABSOLUTE CREDIT  LLC,1
Strauss Factor Laing & Lyons,1
Huntington Debt Holding LLC,1
"January Technologies, Inc",1
Reliant Financial Corporation,1
MIDWEST RECEIVABLE SOLUTIONS LLC,1
"Kelsting Group, Inc.",1
"Total Card, Inc.",1
"IMPAC MORTGAGE HOLDINGS, INC.",1
"SELECT PORTFOLIO SERVICING, INC.",1
"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP",1
M&T BANK CORPORATION,1
FourLeaf Federal Credit Union,1
RANDOLPH-BROOKS FEDERAL CREDIT UNION,1
"Cedars Business Services, LLC",1
"Cornerstone First Mortgage, Inc.",1
AMERICA FIRST FEDERAL CREDIT UNION,1
"SERVICEMAC, LLC",1
"Advance America, Cash Advance Centers, Inc.",1
FIRST TECHNOLOGY FEDERAL CREDIT UNION,1
American Financial Network Inc.,1
FORD MOTOR CREDIT CO.,1
"FIRST INTERSTATE BANCSYSTEM, INC.",1
"Diversified Adjustment Service, Inc.",1
"CENTRAL BANCOMPANY, INC",1
"Gurstel Law Firm, P.C.",1
AUTOMOTIVE CREDIT CORPORATION,1
"HOPE BANCORP, INC.",1
ACE Midland Holdings,1
eMortgage Funding LLC,1
"Seattle Service Bureau, Inc",1
FREEDOM FINANCIAL NETWORK,1
Embassy Loans,1
"Applied Data Finance, LLC",1
CCF Intermediate Holdings LLC,1
"Kinum, Inc., Indianapolis, IN Branch",1
"Consumer Financial Services Solutions, Inc.",1
"WESTERN UNION COMPANY, THE",1
LAND HOME FINANCIAL SERVICES,1
Debt Co LLC,1
Mortgage Origination Holdings LLC,1
